id,stem,category,sub_category,type,options,correct_answer,explanation,rationales,difficulty,references
1,A patient is prescribed digoxin 0.125 mg daily. The medication is available in 0.25 mg tablets. How many tablets should the nurse administer?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""0.5 tablets""}, {""id"": ""B"", ""text"": ""1 tablet""}, {""id"": ""C"", ""text"": ""2 tablets""}, {""id"": ""D"", ""text"": ""0.25 tablets""}]","""A""",0.125 mg / 0.25 mg/tablet = 0.5 tablets.  The nurse would administer half a tablet.,"{""A"": ""0.125 mg / 0.25 mg/tablet = 0.5 tablets.  The nurse would administer half a tablet."", ""B"": ""0.125 mg / 0.25 mg/tablet = 0.5 tablets.  The nurse would administer half a tablet."", ""C"": ""0.125 mg / 0.25 mg/tablet = 0.5 tablets.  The nurse would administer half a tablet."", ""D"": ""0.125 mg / 0.25 mg/tablet = 0.5 tablets.  The nurse would administer half a tablet.""}",1,
2,Which of the following are standard precautions used to prevent the spread of infection?,physiological-integrity,,multiple-select,"[{""id"": ""A"", ""text"": ""Hand hygiene""}, {""id"": ""B"", ""text"": ""Use of personal protective equipment (PPE)""}, {""id"": ""C"", ""text"": ""Proper disposal of sharps""}, {""id"": ""D"", ""text"": ""Airborne precautions for all patients""}, {""id"": ""E"", ""text"": ""Contact precautions for all patients""}, {""id"": ""F"", ""text"": ""Sterile technique for all procedures""}]","[""A"", ""B"", ""C""]",Standard precautions apply to all patients regardless of their diagnosis.  Airborne and contact precautions are used in addition to standard precautions for specific infections. Sterile technique is not always required.,"{""A"": ""Standard precautions apply to all patients regardless of their diagnosis.  Airborne and contact precautions are used in addition to standard precautions for specific infections. Sterile technique is not always required."", ""B"": ""Standard precautions apply to all patients regardless of their diagnosis.  Airborne and contact precautions are used in addition to standard precautions for specific infections. Sterile technique is not always required."", ""C"": ""Standard precautions apply to all patients regardless of their diagnosis.  Airborne and contact precautions are used in addition to standard precautions for specific infections. Sterile technique is not always required."", ""D"": ""Standard precautions apply to all patients regardless of their diagnosis.  Airborne and contact precautions are used in addition to standard precautions for specific infections. Sterile technique is not always required."", ""E"": ""Standard precautions apply to all patients regardless of their diagnosis.  Airborne and contact precautions are used in addition to standard precautions for specific infections. Sterile technique is not always required."", ""F"": ""Standard precautions apply to all patients regardless of their diagnosis.  Airborne and contact precautions are used in addition to standard precautions for specific infections. Sterile technique is not always required.""}",2,
3,A patient experiencing angina reports chest pain radiating to the jaw and left arm.  What is the priority nursing intervention?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Administer morphine sulfate as ordered.""}, {""id"": ""B"", ""text"": ""Assess vital signs and oxygen saturation.""}, {""id"": ""C"", ""text"": ""Obtain a 12-lead electrocardiogram (ECG).""}, {""id"": ""D"", ""text"": ""Instruct the patient to take deep breaths.""}]","""B""","While all options are appropriate, assessing vital signs and oxygen saturation is the immediate priority to determine the severity of the situation and guide further interventions.","{""A"": ""While all options are appropriate, assessing vital signs and oxygen saturation is the immediate priority to determine the severity of the situation and guide further interventions."", ""B"": ""While all options are appropriate, assessing vital signs and oxygen saturation is the immediate priority to determine the severity of the situation and guide further interventions."", ""C"": ""While all options are appropriate, assessing vital signs and oxygen saturation is the immediate priority to determine the severity of the situation and guide further interventions."", ""D"": ""While all options are appropriate, assessing vital signs and oxygen saturation is the immediate priority to determine the severity of the situation and guide further interventions.""}",2,
4,A patient with chronic obstructive pulmonary disease (COPD) is experiencing increased shortness of breath and wheezing.  Which assessment finding would require immediate attention?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Increased sputum production""}, {""id"": ""B"", ""text"": ""Use of accessory muscles for breathing""}, {""id"": ""C"", ""text"": ""Oxygen saturation of 88% on 2L oxygen""}, {""id"": ""D"", ""text"": ""Bilateral crackles heard on auscultation""}]","""C""","An oxygen saturation of 88% indicates hypoxemia, a life-threatening condition requiring immediate intervention.  The other findings are concerning but not as immediately life-threatening.","{""A"": ""An oxygen saturation of 88% indicates hypoxemia, a life-threatening condition requiring immediate intervention.  The other findings are concerning but not as immediately life-threatening."", ""B"": ""An oxygen saturation of 88% indicates hypoxemia, a life-threatening condition requiring immediate intervention.  The other findings are concerning but not as immediately life-threatening."", ""C"": ""An oxygen saturation of 88% indicates hypoxemia, a life-threatening condition requiring immediate intervention.  The other findings are concerning but not as immediately life-threatening."", ""D"": ""An oxygen saturation of 88% indicates hypoxemia, a life-threatening condition requiring immediate intervention.  The other findings are concerning but not as immediately life-threatening.""}",3,
5,A patient with type 1 diabetes is exhibiting signs of hypoglycemia.  Which of the following are appropriate nursing interventions?,physiological-integrity,,multiple-select,"[{""id"": ""A"", ""text"": ""Administer rapid-acting insulin.""}, {""id"": ""B"", ""text"": ""Offer the patient 15 grams of carbohydrates.""}, {""id"": ""C"", ""text"": ""Monitor blood glucose levels frequently.""}, {""id"": ""D"", ""text"": ""Encourage the patient to rest.""}, {""id"": ""E"", ""text"": ""Check for ketones in the urine.""}]","[""B"", ""C"", ""D""]","Administering rapid-acting insulin would worsen hypoglycemia.  Checking for ketones is relevant for hyperglycemia, not hypoglycemia.","{""A"": ""Administering rapid-acting insulin would worsen hypoglycemia.  Checking for ketones is relevant for hyperglycemia, not hypoglycemia."", ""B"": ""Administering rapid-acting insulin would worsen hypoglycemia.  Checking for ketones is relevant for hyperglycemia, not hypoglycemia."", ""C"": ""Administering rapid-acting insulin would worsen hypoglycemia.  Checking for ketones is relevant for hyperglycemia, not hypoglycemia."", ""D"": ""Administering rapid-acting insulin would worsen hypoglycemia.  Checking for ketones is relevant for hyperglycemia, not hypoglycemia."", ""E"": ""Administering rapid-acting insulin would worsen hypoglycemia.  Checking for ketones is relevant for hyperglycemia, not hypoglycemia.""}",2,
6,A patient with severe dehydration would likely exhibit which of the following symptoms?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Hypotension""}, {""id"": ""B"", ""text"": ""Bradycardia""}, {""id"": ""C"", ""text"": ""Edema""}, {""id"": ""D"", ""text"": ""Bounding pulses""}]","""A""","Dehydration leads to decreased blood volume, resulting in hypotension.  Bradycardia, edema, and bounding pulses are not associated with dehydration.","{""A"": ""Dehydration leads to decreased blood volume, resulting in hypotension.  Bradycardia, edema, and bounding pulses are not associated with dehydration."", ""B"": ""Dehydration leads to decreased blood volume, resulting in hypotension.  Bradycardia, edema, and bounding pulses are not associated with dehydration."", ""C"": ""Dehydration leads to decreased blood volume, resulting in hypotension.  Bradycardia, edema, and bounding pulses are not associated with dehydration."", ""D"": ""Dehydration leads to decreased blood volume, resulting in hypotension.  Bradycardia, edema, and bounding pulses are not associated with dehydration.""}",1,
7,A patient reports a pain level of 8/10 after surgery.  Which of the following is the most appropriate initial action?,safe-and-effective-care,,multiple-choice,"[{""id"": ""A"", ""text"": ""Administer a prescribed opioid analgesic.""}, {""id"": ""B"", ""text"": ""Reassess the patient’s pain in 30 minutes.""}, {""id"": ""C"", ""text"": ""Teach the patient about nonpharmacological pain management techniques.""}, {""id"": ""D"", ""text"": ""Tell the patient to try to tough it out.""}]","""A""","Given the high pain level, administering the prescribed analgesic is the most appropriate initial action.","{""A"": ""Given the high pain level, administering the prescribed analgesic is the most appropriate initial action."", ""B"": ""Given the high pain level, administering the prescribed analgesic is the most appropriate initial action."", ""C"": ""Given the high pain level, administering the prescribed analgesic is the most appropriate initial action."", ""D"": ""Given the high pain level, administering the prescribed analgesic is the most appropriate initial action.""}",2,
8,Which of the following is the best method for cleaning a wound?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Using hydrogen peroxide""}, {""id"": ""B"", ""text"": ""Using sterile saline solution""}, {""id"": ""C"", ""text"": ""Using rubbing alcohol""}, {""id"": ""D"", ""text"": ""Using tap water""}]","""B""",Sterile saline solution is the most appropriate solution for wound cleaning to minimize tissue damage and infection risk.,"{""A"": ""Sterile saline solution is the most appropriate solution for wound cleaning to minimize tissue damage and infection risk."", ""B"": ""Sterile saline solution is the most appropriate solution for wound cleaning to minimize tissue damage and infection risk."", ""C"": ""Sterile saline solution is the most appropriate solution for wound cleaning to minimize tissue damage and infection risk."", ""D"": ""Sterile saline solution is the most appropriate solution for wound cleaning to minimize tissue damage and infection risk.""}",1,
9,A patient with a head injury is exhibiting signs of increased intracranial pressure (ICP). Which of the following are indicative of increased ICP?,physiological-integrity,,multiple-select,"[{""id"": ""A"", ""text"": ""Decreased level of consciousness""}, {""id"": ""B"", ""text"": ""Bradycardia""}, {""id"": ""C"", ""text"": ""Widening pulse pressure""}, {""id"": ""D"", ""text"": ""Irregular respirations""}, {""id"": ""E"", ""text"": ""Hypertension""}, {""id"": ""F"", ""text"": ""Pinpoint pupils""}]","[""A"", ""C"", ""D"", ""E""]","Increased ICP typically presents with changes in level of consciousness, widening pulse pressure (Cushing's triad), irregular respirations (Cheyne-Stokes), and hypertension.  Bradycardia and pinpoint pupils are not typical signs of increased ICP.","{""A"": ""Increased ICP typically presents with changes in level of consciousness, widening pulse pressure (Cushing's triad), irregular respirations (Cheyne-Stokes), and hypertension.  Bradycardia and pinpoint pupils are not typical signs of increased ICP."", ""B"": ""Increased ICP typically presents with changes in level of consciousness, widening pulse pressure (Cushing's triad), irregular respirations (Cheyne-Stokes), and hypertension.  Bradycardia and pinpoint pupils are not typical signs of increased ICP."", ""C"": ""Increased ICP typically presents with changes in level of consciousness, widening pulse pressure (Cushing's triad), irregular respirations (Cheyne-Stokes), and hypertension.  Bradycardia and pinpoint pupils are not typical signs of increased ICP."", ""D"": ""Increased ICP typically presents with changes in level of consciousness, widening pulse pressure (Cushing's triad), irregular respirations (Cheyne-Stokes), and hypertension.  Bradycardia and pinpoint pupils are not typical signs of increased ICP."", ""E"": ""Increased ICP typically presents with changes in level of consciousness, widening pulse pressure (Cushing's triad), irregular respirations (Cheyne-Stokes), and hypertension.  Bradycardia and pinpoint pupils are not typical signs of increased ICP."", ""F"": ""Increased ICP typically presents with changes in level of consciousness, widening pulse pressure (Cushing's triad), irregular respirations (Cheyne-Stokes), and hypertension.  Bradycardia and pinpoint pupils are not typical signs of increased ICP.""}",3,
10,A patient with a nasogastric (NG) tube is experiencing nausea and vomiting.  What is the priority nursing action?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Increase the rate of NG tube feeding.""}, {""id"": ""B"", ""text"": ""Check the placement of the NG tube.""}, {""id"": ""C"", ""text"": ""Administer an antiemetic medication as ordered.""}, {""id"": ""D"", ""text"": ""Encourage the patient to drink clear liquids.""}]","""B""",Checking NG tube placement is the priority to ensure that the feeding is not entering the lungs.,"{""A"": ""Checking NG tube placement is the priority to ensure that the feeding is not entering the lungs."", ""B"": ""Checking NG tube placement is the priority to ensure that the feeding is not entering the lungs."", ""C"": ""Checking NG tube placement is the priority to ensure that the feeding is not entering the lungs."", ""D"": ""Checking NG tube placement is the priority to ensure that the feeding is not entering the lungs.""}",2,
